budget;genres;imdb_id;original_language;popularity;production_companies;release_date;revenue;runtime;title;vote_average;vote_count;spoken_languages_number;director_name
0;Drama|Crime;tt0094675;fi;0.823904;Villealfa Filmproduction Oy;21-10-1988;0;69;Ariel;7.1;40;2;Aki Kaurismäki
0;Drama|Comedy;tt0092149;fi;0.47445;Villealfa Filmproduction Oy;16-10-1986;0;76;Shadows in Paradise;7.0;32;3;Aki Kaurismäki
4000000;Crime|Comedy;tt0113101;en;1.698;Miramax Films;25-12-1995;4300000;98;Four Rooms;6.5;485;1;Allison Anders
0;Action|Thriller|Crime;tt0107286;en;132.287;Universal Pictures;15-10-1993;12136938;110;Judgment Night;6.5;69;1;Stephen Hopkins
11000000;Adventure|Action|Science Fiction;tt0076759;en;10.492.614;Lucasfilm;25-05-1977;775398007;121;Star Wars;8.0;6168;1;George Lucas
94000000;Animation|Family;tt0266543;en;9.915.573;Pixar Animation Studios;30-05-2003;940335536;100;Finding Nemo;7.6;5531;1;Andrew Stanton
55000000;Comedy|Drama|Romance;tt0109830;en;10.351.236;Paramount Pictures;06-07-1994;677945399;142;Forrest Gump;8.2;7204;1;Robert Zemeckis
15000000;Drama;tt0169547;en;8.191.009;DreamWorks SKG;15-09-1999;356296601;122;American Beauty;7.9;2994;1;Sam Mendes
839727;Mystery|Drama;tt0033467;en;382.689;RKO Radio Pictures;30-04-1941;23217674;119;Citizen Kane;7.9;1110;1;Orson Welles
12800000;Drama|Crime|Music;tt0168629;en;2.106.217;Fine Line Features;17-05-2000;40031879;140;Dancer in the Dark;7.6;348;1;Lars von Trier
0;Horror|Thriller|Mystery;tt0411267;en;1.253.999;Constantin Film;26-01-2006;0;87;The Dark;5.6;69;2;John Fawcett
90000000;Adventure|Fantasy|Action|Thriller|Science Fiction;tt0119116;en;9.233.786;Columbia Pictures;07-05-1997;263920180;126;The Fifth Element;7.2;3629;3;Luc Besson
92620000;Drama|Science Fiction;tt0017136;de;3.669.986;Paramount Pictures;10-01-1927;650422;153;Metropolis;8.0;614;1;Fritz Lang
0;Drama|Romance;tt0314412;en;0.911462;El Deseo;07-03-2003;9726954;106;My Life Without Me;7.2;75;1;Isabel Coixet
140000000;Adventure|Fantasy|Action;tt0325980;en;28.769.026;Walt Disney Pictures;09-07-2003;655011224;143;Pirates of the Caribbean: The Curse of the Black Pearl;7.4;6368;1;Gore Verbinski
30000000;Action|Crime;tt0266697;en;7.891.837;Miramax Films;10-10-2003;180949000;111;Kill Bill: Vol. 1;7.7;4486;3;Quentin Tarantino
72000000;Drama|War;tt0418763;en;241.718;Universal Pictures;04-11-2005;96889998;125;Jarhead;6.5;722;4;Sam Mendes
1000000;Drama|Music|Romance;tt0411705;en;2.939.728;Revolution Films;16-07-2004;1574623;66;9 Songs;5.1;95;1;Michael Winterbottom
31500000;Drama|War;tt0078788;en;7.620.077;United Artists;15-08-1979;89460381;153;Apocalypse Now;8.0;1869;4;Francis Ford Coppola
